1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorchSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
1652.0,0.0,2.0,No,1572.0,GLQ,80.0,0.0,840.0,Fin,2006.0,1652.0,Ex,13173.0,108.0,300.0,102.0,5.0,9.0,1652.0,178.8,2006.0,2007.0,325000
1062.0,0.0,3.0,Av,539.0,ALQ,490.0,0.0,539.0,RFn,1976.0,1062.0,TA,11333.0,81.6,0.0,0.0,5.0,6.0,1029.0,120.0,1976.0,1976.0,146800
1008.0,0.0,2.0,No,486.0,BLQ,522.0,0.0,275.0,Fin,1954.0,1008.0,TA,11425.0,77.6,0.0,0.0,6.0,5.0,1008.0,62.4,1954.0,1954.0,137000
2020.0,0.0,3.0,No,1436.0,GLQ,570.0,0.0,900.0,Fin,2009.0,2020.0,Ex,12220.0,94.0,305.0,54.0,5.0,10.0,2006.0,150.0,2009.0,2009.0,402861
1208.0,0.0,2.0,No,664.0,GLQ,544.0,45.2,628.0,RFn,2007.0,1208.0,Gd,6762.0,64.0,108.0,54.0,5.0,7.0,1208.0,105.0,2007.0,2007.0,195400
972.0,605.0,3.0,No,0.0,Unf,972.0,54.8,312.0,Unf,1939.0,1577.0,Fa,6435.0,65.0,0.0,0.0,5.0,6.0,972.0,55.2,1939.0,1950.0,140200
1118.0,912.0,4.0,No,156.0,LwQ,692.0,90.6,551.0,Fin,1976.0,2030.0,Gd,12046.0,84.6,298.0,224.0,6.0,6.0,848.0,41.6,1976.0,1976.0,195000
1636.0,971.0,3.0,No,152.0,Rec,977.0,72.2,0.0,Fin,1977.0,3086.0,Ex,18030.0,138.0,0.0,0.0,6.0,5.0,1598.0,58.4,1946.0,1994.0,200500
1268.0,0.0,3.0,Av,196.0,ALQ,1072.0,49.8,252.0,Unf,1978.0,1268.0,Gd,9286.0,72.8,0.0,0.0,7.0,5.0,1268.0,24.0,1977.0,1989.0,143500
866.0,81.2,2.0,No,329.0,ALQ,357.0,57.2,0.0,None,1971.0,866.0,Gd,3880.0,40.0,0.0,42.0,9.0,5.0,686.0,53.6,1945.0,1997.0,110500
