1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorchSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
856.0,854.0,3.0,1,706.0,6,150.0,0.0,548.0,2,2003.0,1710.0,3,8450.0,65.0,196.0,61.0,5.0,7.0,856.0,0.0,2003.0,2003.0,208500
1262.0,0.0,3.0,4,978.0,5,284.0,0.0,460.0,2,1976.0,1262.0,2,9600.0,80.0,0.0,0.0,8.0,6.0,1262.0,180.0,1976.0,1976.0,181500
920.0,866.0,3.0,2,486.0,6,434.0,0.0,608.0,2,2001.0,1786.0,3,11250.0,68.0,162.0,42.0,5.0,7.0,920.0,0.0,2001.0,2002.0,223500
961.0,835.0,3.0,1,216.0,5,540.0,46.8,642.0,1,1998.0,1717.0,3,9550.0,60.0,0.0,35.0,5.0,7.0,756.0,159.2,1915.0,1970.0,140000
1145.0,936.6,4.0,3,655.0,6,490.0,0.0,836.0,2,2000.0,2198.0,3,14260.0,84.0,350.0,84.0,5.0,8.0,1145.0,177.8,2000.0,2000.0,250000
796.0,566.0,1.0,1,732.0,6,64.0,81.8,480.0,1,1993.0,1362.0,2,14115.0,85.0,0.0,30.0,5.0,5.0,796.0,129.8,1993.0,1995.0,143000
1694.0,0.0,3.0,3,1369.0,6,317.0,0.0,636.0,2,2004.0,1694.0,3,10084.0,75.0,186.0,57.0,5.0,8.0,1686.0,225.0,2004.0,2005.0,307000
1107.0,983.0,3.0,2,859.0,5,216.0,28.8,484.0,2,1973.0,2090.0,2,10382.0,83.6,240.0,204.0,6.0,7.0,1107.0,57.6,1973.0,1973.0,200000
1022.0,752.0,2.0,1,0.0,1,952.0,54.8,468.0,1,1931.0,1774.0,2,6120.0,51.0,0.0,0.0,5.0,7.0,952.0,34.2,1931.0,1950.0,129900
1077.0,0.0,2.0,1,851.0,6,140.0,45.2,205.0,2,1939.0,1077.0,2,7420.0,50.0,0.0,4.0,6.0,5.0,991.0,145.8,1939.0,1950.0,118000
1040.0,0.0,3.0,1,906.0,3,134.0,0.0,384.0,1,1965.0,1040.0,2,11200.0,70.0,0.0,0.0,5.0,5.0,1040.0,155.6,1965.0,1965.0,129500
1182.0,1142.0,4.0,1,998.0,6,177.0,0.0,736.0,3,2005.0,2324.0,4,11924.0,85.0,286.0,21.0,5.0,9.0,1175.0,264.6,2005.0,2006.0,345000
912.0,0.0,2.0,1,737.0,5,175.0,37.0,352.0,1,1962.0,912.0,2,12968.0,79.0,0.0,0.0,6.0,5.0,912.0,204.2,1962.0,1962.0,144000
1494.0,0.0,3.0,3,0.0,1,1494.0,0.0,840.0,2,2006.0,1494.0,3,10652.0,91.0,306.0,33.0,5.0,7.0,1494.0,160.0,2006.0,2007.0,279500
1253.0,0.0,2.8,1,733.0,4,520.0,0.0,352.0,2,1960.0,1253.0,2,10920.0,79.0,212.0,213.0,5.0,6.0,1253.0,24.0,1960.0,1960.0,157000
