,SalePrice
77,127000
847,133500
190,315000
714,130500
1114,117000
1099,157000
1187,262000
900,110000
1404,105000
1308,147000
583,325000
459,110000
1432,64500
1209,290000
203,149000
1049,84900
739,190000
1337,52500
1433,186500
556,141000
777,142500
591,451950
184,127000
800,200000
155,79000
866,248900
1394,246578
807,223500
951,119900
1055,180000
561,170000
641,226000
1415,175900
1119,133700
1440,191000
601,141000
261,276000
64,219500
869,236000
1,181500
979,139000
123,153900
80,193500
645,143250
1285,132500
1445,129000
321,354000
1134,169000
254,145000
1333,125500
732,222500
356,173000
604,221000
692,335000
1325,55000
576,145000
1193,165000
1431,143750
252,173000
153,235000
996,136500
1194,158000
734,108000
282,207500
1145,149000
1348,215000
775,162000
463,188700
1227,147000
1097,170000
1103,159500
696,89000
398,67000
399,241000
756,212000
288,122000
1019,213490
1140,139000
497,184000
477,380000
395,129000
1353,410000
213,156000
1416,122500
1241,248328
515,402861
946,143000
178,501837
279,192000
173,163000
20,325300
24,154000
874,66500
1306,202500
468,250000
211,186000
362,198500
950,129000
872,116000
587,137000
1375,239000
143,204000
653,135000
253,158000
949,197500
117,155000
713,129000
1136,119000
1363,156932
1356,110000
28,207500
735,163000
572,224500
554,284000
508,161000
460,263435
397,169500
916,35311
843,141000
369,162000
705,55000
1240,224900
1284,169000
60,158000
1443,121000
878,148000
1038,97000
1127,259000
1236,175500
84,168500
839,130500
292,131000
1328,256000
1373,466500
1398,138000
418,126000
947,270000
1426,271000
765,264132
1085,147000
644,370878
834,139950
1258,190000
1385,125500
747,265979
1025,112500
231,403000
1427,140000
969,140000
805,227680
1000,82000
744,180000
816,137000
1105,325000
559,234000
1042,196000
1273,177000
787,233000
575,118500
1312,302000
574,139000
710,52000
475,132500
568,316600
1279,68400
363,118000
1037,287000
1098,128000
1271,185750
1129,140000
236,185500
1450,136000
887,135500
571,120000
287,88000
1257,99900
1047,145000
547,129500
359,280000
1263,180500
669,137500
1017,187500
189,286000
327,145250
1174,239000
157,269500
861,131500
285,164700
795,171000
478,297000
374,219500
291,135900
31,149350
342,87500
220,204900
907,250000
522,159000
932,320000
196,311872
1335,167900
1430,192140
1359,315000
1090,92900
1214,134500
1014,119200
1275,137000
620,67000
1346,262500
822,225000
263,130000
53,385000
334,192000
68,80000
100,205000
326,324000
172,239000
350,318061
188,153337
741,142000
654,350000
764,270000
958,185000
111,180000
118,320000
928,236500
113,217000
1168,235000
827,189000
1424,144000
1093,146000
952,133900
1287,190000
455,175500
1310,335000
250,76500
187,135000
257,220000
1035,84000
281,185000
896,106500
768,216837
1104,106000
954,127500
1223,137900
534,178000
1386,250000
925,175000
633,139400
1088,137500
1116,184100
749,98000
1410,230000
1266,122000
164,152000
716,159500
806,135500
482,155000
1211,164000
132,150750
35,309000
1387,136000
1206,107000
819,224000
873,133000
275,205000
953,172000
635,200000
1242,170000
176,211000
1449,92000
328,214500
675,148500
314,178000
367,165000
942,150000
200,140000
1292,107500
1154,201800
1425,142000
796,143500
370,172400
319,187500
978,110000
1401,193000
443,172500
945,124900
382,213500
1048,115000
1208,140000
408,280000
1137,94000
608,359100
402,108000
1018,160000
961,272000
492,172785
412,222000
884,100000
1120,118400
244,205000
305,305900
322,301000
1326,79000
851,215000
871,200500
577,164500
563,185000
1336,135000
377,340000
1073,159500
1020,176000
270,266000
772,107000
903,240000
0,208500
673,257500
1341,155000
706,302000
937,253000
1183,120000
332,284000
103,198900
667,193500
209,145000
206,143900
981,336000
513,134000
1046,556581
289,153575
15,132000
258,231500
1367,127000
638,85000
238,318000
670,173500
10,129500
472,148000
1133,239500
901,153000
833,167000
1340,123000
135,174000
1246,186500
1261,128900
424,139000
259,97000
1313,333168
826,109500
850,131500
1368,144000
1248,129500
431,79900
284,179200
611,148000
349,437154
758,179400
1459,147500
1147,174500
389,426000
70,244000
507,208300
1067,167900
818,155000
1010,135000
711,102776
386,81000
1167,173000
1224,184000
1009,102000
943,143000
446,190000
993,173900
159,320000
1247,169900
566,325000
724,320000
622,135000
179,100000
1083,160000
1177,115000
1141,197500
1217,229456
1156,179900
1301,177500
526,132000
347,157500
537,111250
684,221000
498,130000
1412,90000
120,180000
578,146000
469,187000
1329,176500
449,120000
509,124500
757,158900
47,249700
385,192000
966,160000
738,179000
1148,116900
649,84500
56,172500
936,184900
1277,197900
733,131400
798,485000
595,319000
1322,190000
892,154500
1230,190000
799,175000
230,148000
592,138000
1384,105000
425,135000
320,342643
215,134450
731,187500
1436,120500
700,312500
784,128000
438,90350
542,213250
272,290000
307,89500
108,115000
1139,144000
545,229000
774,395000
1157,230000
1454,185000
1040,155000
982,159895
1389,131000
174,184000
233,128200
387,125000
1033,230000
441,118000
227,106000
712,189000
325,87000
407,177000
853,158000
450,110000
1159,185000
9,118000
1233,142000
948,192500
1344,155835
92,163500
609,118500
1061,81000
1071,154000
1196,219210
93,133900
729,103000
471,190000
224,386250
570,142600
763,337000
490,115000
193,130000
409,339750
487,175000
1350,200000
1131,93500
1282,150500
746,236000
1238,142500
683,285000
514,96500
651,108000
1056,185850
1074,194000
361,145000
1276,162000
987,395192
110,136900
479,89471
48,113000
1202,117000
766,196500
44,141000
7,200000
488,160000
829,147400
1199,148000
105,250000
528,86000
743,175000
72,185000
631,209500
863,132500
600,275000
557,108000
1053,144500
393,100000
295,142500
924,207500
1151,149900
437,119000
1180,250000
401,164990
1302,290000
466,167000
1231,132500
980,178400
897,142953
185,475000
1352,134900
553,108000
1215,125000
685,207500
536,188000
736,93500
990,348000
131,244000
539,272000
436,116000
1005,149900
546,210000
298,175000
286,159000
1414,207000
1309,179200
255,230000
158,254900
1170,171000
201,171500
648,155000
562,108000
1029,118000
940,150900
811,144500
1186,95000
647,155000
1123,118000
340,202900
1318,275000
1251,171750
61,101000
30,40000
22,230000
1343,177000
792,269790
967,135000
175,243000
25,256300
785,161500
344,85000
593,140000
1388,377500
831,151000
12,144000
429,175000
702,361919
405,150000
420,206300
1153,120500
473,440000
264,73000
814,116000
1255,127500
130,226000
222,179900
615,137500
512,129900
750,96500
858,152000
968,37900
3,140000
646,98300
152,190000
1022,87000
538,158000
442,162900
501,226700
1185,104900
1034,119750
339,155000
290,233230
33,165500
406,115000
160,162500
1130,135000
1270,260000
628,135000
1378,83000
296,152000
1376,91000
636,60000
972,99500
1381,237500
918,238000
199,274900
129,150000
271,241500
881,187500
1075,219500
416,149500
511,202665
162,220000
642,345000
480,326000
1197,144000
1189,189000
1110,188000
725,120500
419,142000
180,177000
1149,143000
1027,293077
1102,135000
1249,119000
560,121500
730,236500
452,204000
1178,154900
55,180500
81,153500
421,215000
1108,181000
1095,176432
505,124500
422,113000
518,211000
810,181000
88,85000
91,98600
1297,140000
889,149500
759,290000
1051,200141
241,110500
1070,135000
151,372402
297,239000
464,124000
1219,91500
1175,285000
1091,160000
681,159434
73,144900
1316,295493
1361,260000
1124,163900
956,124000
112,383970
688,392000
917,135000
517,265000
373,123000
880,157000
894,118858
1052,165000
1295,138500
207,141000
715,165000
909,174000
1269,144000
75,91000
657,149000
98,83000
721,143000
1458,142125
423,315000
243,120000
835,128000
1024,287000
1165,233170
234,216500
458,161000
959,155000
965,178900
1216,112000
1399,137450
1293,162900
256,207500
1041,173000
89,123600
963,239000
841,157500
974,167500
116,139000
791,146800
541,248000
246,137000
717,157000
506,215000
1004,181000
1244,230000
345,140200
474,251000
18,159000
1300,225000
664,423000
481,374000
315,188500
1256,301500
1036,315500
957,132000
1113,134500
335,228950
1435,174000
107,115000
1043,262280
354,140000
226,290000
503,289000
426,275000
301,267000
1221,134000
1408,125500
931,117500
550,140000
1023,191000
1259,151000
1001,86000
432,122500
1374,250000
632,82500
1232,101800
1008,240000
915,75000
1155,218000
660,197900
832,237000
1077,138800
689,194700
558,175000
365,147000
351,190000
1421,127500
555,113000
228,125000
761,100000
147,222500
390,119000
1169,625000
922,169990
1377,117000
1417,340000
643,152000
704,213000
1370,105000
126,128000
1204,153500
1364,144152
618,314813
341,82000
137,171000
181,200100
1338,200000
95,185000
500,113000
225,112000
166,190000
944,137500
864,250580
114,259500
1096,127000
280,228500
666,129000
163,103200
718,341000
904,125500
300,157000
1245,178000
1106,179900
109,190000
51,114500
448,119500
525,176000
788,107900
1418,124000
820,183000
1188,195000
41,170000
1234,130000
1060,213500
938,239799
434,81000
485,147000
45,319900
844,153900
1065,328000
521,150000
219,167240
627,153000
5,143000
621,240000
87,164500
1235,138887
404,168000
1334,125000
699,196000
451,280000
249,277000
384,240000
1254,165400
999,206000
661,402000
964,214900
1003,136905
16,149000
195,148500
138,230000
1028,105000
192,192000
672,165000
214,161750
920,201000
603,151000
499,120000
722,124500
36,145000
102,118964
813,157900
1451,287090
652,191000
