,SalePrice
EnclosedPorchSF,0.1238955378474968
LotArea,0.2169695411516254
BedroomAbvGr,0.25311469861573693
OpenPorchSF,0.29651102052088507
LotFrontage,0.31495771875325324
WoodDeckSF,0.33333266844111487
OverallCond,0.33750173503524217
BsmtFinType1,0.354560649118837
BsmtExposure,0.47040138040756346
BsmtUnfSF,0.4704900042463373
YearRemodAdd,0.4921120492149008
1stFlrSF,0.5100180474493324
BsmtFinSF1,0.511025958228889
GarageFinish,0.5248528071934566
GarageYrBlt,0.5450076854374665
TotalBsmtSF,0.5765484646931137
YearBuilt,0.621852379989713
KitchenQual,0.6619793921488576
GarageArea,0.7004414284459098
MasVnrArea,0.7717030680129419
OverallQual,0.8203475925798714
2ndFlrSF,0.8527182784950571
GrLivArea,0.8870256981366172
SalePrice,1.0
