,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorchSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
0,856.0,854.0,3.0,No,706.0,GLQ,150.0,0.0,548.0,RFn,2003.0,1710.0,Gd,8450.0,65.0,196.0,61.0,5.0,7.0,856.0,0.0,2003.0,2003.0,208500
1,1262.0,0.0,3.0,Gd,978.0,ALQ,284.0,0.0,460.0,RFn,1976.0,1262.0,TA,9600.0,80.0,0.0,0.0,8.0,6.0,1262.0,180.0,1976.0,1976.0,181500
2,920.0,866.0,3.0,Mn,486.0,GLQ,434.0,0.0,608.0,RFn,2001.0,1786.0,Gd,11250.0,68.0,162.0,42.0,5.0,7.0,920.0,0.0,2001.0,2002.0,223500
3,961.0,835.0,3.0,No,216.0,ALQ,540.0,46.8,642.0,Unf,1998.0,1717.0,Gd,9550.0,60.0,0.0,35.0,5.0,7.0,756.0,159.2,1915.0,1970.0,140000
4,1145.0,936.6,4.0,Av,655.0,GLQ,490.0,0.0,836.0,RFn,2000.0,2198.0,Gd,14260.0,84.0,350.0,84.0,5.0,8.0,1145.0,177.8,2000.0,2000.0,250000
5,796.0,566.0,1.0,No,732.0,GLQ,64.0,81.8,480.0,Unf,1993.0,1362.0,TA,14115.0,85.0,0.0,30.0,5.0,5.0,796.0,129.8,1993.0,1995.0,143000
6,1694.0,0.0,3.0,Av,1369.0,GLQ,317.0,0.0,636.0,RFn,2004.0,1694.0,Gd,10084.0,75.0,186.0,57.0,5.0,8.0,1686.0,225.0,2004.0,2005.0,307000
7,1107.0,983.0,3.0,Mn,859.0,ALQ,216.0,28.8,484.0,RFn,1973.0,2090.0,TA,10382.0,83.6,240.0,204.0,6.0,7.0,1107.0,57.6,1973.0,1973.0,200000
8,1022.0,752.0,2.0,No,0.0,Unf,952.0,54.8,468.0,Unf,1931.0,1774.0,TA,6120.0,51.0,0.0,0.0,5.0,7.0,952.0,34.2,1931.0,1950.0,129900
9,1077.0,0.0,2.0,No,851.0,GLQ,140.0,45.2,205.0,RFn,1939.0,1077.0,TA,7420.0,50.0,0.0,4.0,6.0,5.0,991.0,145.8,1939.0,1950.0,118000
